,Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance,City pair unique distance
99,"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,353,1
100,"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,772,1
101,"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,772,1
102,"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,772,1
103,"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,772,1
104,"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,772,1
105,"London, United Kingdom - Madrid, Spain",MAD,LHR,40.5,-3.58,51.47,-0.45,772,1
106,"Cape Town, South Africa - London, United Kingdom",LHR,CPT,51.5,-0.45,-33.97,18.59,5996,1
107,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
108,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
109,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
110,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
111,"Doha, Qatar - London, United Kingdom",LHR,DOH,51.5,-0.45,25.27,51.56,3259,1
112,"Doha, Qatar - London, United Kingdom",LHR,DOH,51.5,-0.45,25.27,51.56,3259,1
113,"London, United Kingdom - Philadelphia, United States Of America",PHL,LHR,45.1,-89.01,51.47,-0.45,3852,1
114,"London, United Kingdom - Philadelphia, United States Of America",PHL,LHR,45.1,-89.01,51.47,-0.45,3852,1
115,"Hong Kong, Hong Kong - London, United Kingdom",HKG,LHR,22.3,113.94,51.47,-0.45,5996,1
116,"Hong Kong, Hong Kong - London, United Kingdom",HKG,LHR,22.3,113.94,51.47,-0.45,5996,1
117,"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,407,1
118,"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,407,1
119,"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,407,1
120,"Frankfurt, Germany - London, United Kingdom",LHR,FRA,51.5,-0.45,50.05,8.56,407,1
121,"Houston, United States Of America - New York, United States Of America",IAH,LGA,30.0,-95.34,40.77,-73.88,1415,1
122,"Houston, United States Of America - New York, United States Of America",IAH,LGA,30.0,-95.34,40.77,-73.88,1415,1
123,"Houston, United States Of America - New York, United States Of America",IAH,LGA,30.0,-95.34,40.77,-73.88,1415,1
124,"Istanbul, Turkey - London, United Kingdom",IST,LHR,41.0,28.99,51.47,-0.45,1571,1
125,"Istanbul, Turkey - London, United Kingdom",IST,LHR,41.0,28.99,51.47,-0.45,1571,1
126,"Istanbul, Turkey - London, United Kingdom",IST,LHR,41.0,28.99,51.47,-0.45,1571,1
127,"New York, United States Of America - Paris, France",JFK,CDG,40.6,-73.79,49.01,2.54,3636,1
128,"New York, United States Of America - Paris, France",JFK,CDG,40.6,-73.79,49.01,2.54,3636,1
129,"London, United Kingdom - Miami, United States Of America",MIA,LHR,33.4,-110.87,51.47,-0.45,5234,1
130,"London, United Kingdom - Miami, United States Of America",MIA,LHR,33.4,-110.87,51.47,-0.45,5234,1
131,"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,6748,1
132,"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,6748,1
133,"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,6748,1
134,"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,6748,1
135,"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,6748,1
136,"New York, United States Of America - Tokyo, Japan",JFK,NRT,40.6,-73.79,35.75,140.39,6748,1
137,"London, United Kingdom - Washington Dc, United States Of America",LHR,IAD,51.5,-0.45,38.96,-77.45,3676,1
138,"London, United Kingdom - Washington Dc, United States Of America",LHR,IAD,51.5,-0.45,38.96,-77.45,3676,1
139,"London, United Kingdom - Singapore, Singapore",LHR,SIN,51.5,-0.45,1.34,103.98,6764,1
140,"London, United Kingdom - Singapore, Singapore",LHR,SIN,51.5,-0.45,1.34,103.98,6764,1
141,"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,974,1
142,"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,974,1
143,"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,974,1
144,"Lisbon, Portugal - London, United Kingdom",LHR,LIS,51.5,-0.45,38.77,-9.13,974,1
145,"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1593,1
146,"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1593,1
147,"Houston, United States Of America - Newark, United States Of America",IAH,EWR,30.0,-95.34,40.69,-74.18,1398,1
148,"Houston, United States Of America - Newark, United States Of America",IAH,EWR,30.0,-95.34,40.69,-74.18,1398,1
149,"Dallas, United States Of America - New York, United States Of America",LGA,DFW,40.8,-73.88,32.87,-97.04,1390,1
150,"Dallas, United States Of America - New York, United States Of America",LGA,DFW,40.8,-73.88,32.87,-97.04,1390,1
151,"Newark, United States Of America - Toronto Island, Canada",YTZ,EWR,43.6,-79.4,40.69,-74.18,335,1
152,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
153,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
154,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
155,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
156,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
157,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
158,"Edinburgh, United Kingdom - London, United Kingdom",EDI,LCY,56.0,-3.34,51.5,0.05,341,1
159,"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,4379,1
160,"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,6742,1
161,"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,6742,1
162,"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,6742,1
163,"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,6742,1
164,"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,6742,1
165,"New York, United States Of America - Tokyo, Japan",NRT,JFK,35.8,140.39,40.64,-73.79,6742,1
166,"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1234,1
167,"Beijing, China - Hong Kong, Hong Kong",HKG,PEK,22.3,113.94,40.07,116.58,1234,1
168,"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1593,1
169,"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1593,1
170,"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,4485,1
171,"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,4485,1
172,"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,4485,1
173,"London, United Kingdom - Stockholm, Sweden",LHR,ARN,51.5,-0.45,60.74,15.85,893,1
174,"London, United Kingdom - Stockholm, Sweden",LHR,ARN,51.5,-0.45,60.74,15.85,893,1
175,"London, United Kingdom - Stockholm, Sweden",LHR,ARN,51.5,-0.45,60.74,15.85,893,1
176,"Glasgow, United Kingdom - Madras, India",MAA,GLA,51.5,-0.45,55.86,-4.43,343,1
177,"Durban, South Africa - Johannesburg, South Africa",JNB,DUR,-26.1,28.23,-29.96,30.95,313,1
178,"Durban, South Africa - Johannesburg, South Africa",JNB,DUR,-26.1,28.23,-29.96,30.95,313,1
179,"Accra, Ghana - London, United Kingdom",LHR,ACC,51.5,-0.45,5.6,-0.17,3162,1
180,"Accra, Ghana - London, United Kingdom",LHR,ACC,51.5,-0.45,5.6,-0.17,3162,1
181,"London, United Kingdom - Tokyo, Japan",NRT,LHR,35.8,140.39,51.47,-0.45,5972,1
182,"London, United Kingdom - Tokyo, Japan",NRT,LHR,35.8,140.39,51.47,-0.45,5972,1
183,"London, United Kingdom - Tokyo, Japan",NRT,LHR,35.8,140.39,51.47,-0.45,5972,1
184,"London, United Kingdom - Tel Aviv-yafo, Israel",LHR,TLV,51.5,-0.45,32.01,34.89,2233,1
185,"Accra, Ghana - Johannesburg, South Africa",JNB,ACC,-26.1,28.23,5.6,-0.17,2895,1
186,"Accra, Ghana - Johannesburg, South Africa",JNB,ACC,-26.1,28.23,5.6,-0.17,2895,1
187,"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79,4743,1
188,"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79,4743,1
189,"New York, United States Of America - Sao Paulo, Brazil",GRU,JFK,-23.4,-46.48,40.64,-73.79,4743,1
190,"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,-26.1,28.23,30.05,31.25,3866,1
191,"Cairo, Egypt - Johannesburg, South Africa",JNB,CAI,-26.1,28.23,30.05,31.25,3866,1
192,"Atlanta, United States Of America - New York, United States Of America",ATL,LGA,42.9,-83.53,40.77,-73.88,519,1
193,"Atlanta, United States Of America - New York, United States Of America",ATL,LGA,42.9,-83.53,40.77,-73.88,519,1
194,"Athens, Greece - London, United Kingdom",ATH,LHR,37.9,23.72,51.47,-0.45,1503,1
195,"Athens, Greece - London, United Kingdom",ATH,LHR,37.9,23.72,51.47,-0.45,1503,1
196,"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,209,1
197,"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,209,1
198,"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,209,1
199,"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,209,1
200,"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,209,1
201,"Amsterdam, Netherlands - London, United Kingdom",LCY,AMS,51.5,0.05,52.31,4.75,209,1
202,"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,8072,1
203,"London, United Kingdom - Los Angeles, United States Of America",LAX,LHR,34.1,-118.24,51.47,-0.45,5442,1
204,"London, United Kingdom - Los Angeles, United States Of America",LAX,LHR,34.1,-118.24,51.47,-0.45,5442,1
205,"Dallas, United States Of America - London, United Kingdom",DFW,LHR,32.9,-97.04,51.47,-0.45,4751,1
206,"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,3968,1
207,"Dubai, United Arab Emirates - Johannesburg, South Africa",JNB,DXB,-26.1,28.23,25.25,55.35,3968,1
208,"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,219,1
209,"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,219,1
210,"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,219,1
211,"London, United Kingdom - Paris, France",ORY,LCY,48.7,2.37,51.5,0.05,219,1
212,"Dar Es Salaam, United Rep. Of Tanzania - Mtwara, United Rep. Of Tanzania",MYW,DAR,-10.3,40.18,-6.88,39.2,244,1
213,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
214,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
215,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
216,"Frankfurt, Germany - London, United Kingdom",FRA,LCY,50.1,8.56,51.5,0.05,385,1
217,"Dar Es Salaam, United Rep. Of Tanzania - Johannesburg, South Africa",DAR,JNB,-6.9,39.2,-26.13,28.23,1507,1
218,"Mexico City, Mexico - New York, United States Of America",MEX,JFK,19.4,-99.16,40.64,-73.79,2095,1
219,"Mexico City, Mexico - New York, United States Of America",MEX,JFK,19.4,-99.16,40.64,-73.79,2095,1
220,"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,2437,1
221,"Bombay, India - Singapore, Singapore",SIN,BOM,1.3,103.98,19.09,72.86,2437,1
222,"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,229,1
223,"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,229,1
224,"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,229,1
225,"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,229,1
226,"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,229,1
227,"Amsterdam, Netherlands - London, United Kingdom",LHR,AMS,51.5,-0.45,52.31,4.75,229,1
228,"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,471,1
229,"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,471,1
230,"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,471,1
231,"Geneva, Switzerland - London, United Kingdom",GVA,LHR,46.2,6.11,51.47,-0.45,471,1
232,"Bombay, India - Newark, United States Of America",BOM,EWR,19.1,72.86,40.69,-74.18,7807,1
233,"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,355,1
234,"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,355,1
235,"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,355,1
236,"New York, United States Of America - Toronto, Canada",LGA,YYZ,40.8,-73.88,43.68,-79.61,355,1
237,"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,51.5,-0.45,-26.13,28.23,5621,1
238,"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,51.5,-0.45,-26.13,28.23,5621,1
239,"Johannesburg, South Africa - New York, United States Of America",JFK,JNB,51.5,-0.45,-26.13,28.23,5621,1
240,"Beijing, China - London, United Kingdom",LHR,PEK,51.5,-0.45,40.07,116.58,5079,1
241,"Beijing, China - London, United Kingdom",LHR,PEK,51.5,-0.45,40.07,116.58,5079,1
242,"London, United Kingdom - Tokyo, Japan",LHR,HND,51.5,-0.45,35.55,139.75,5972,1
243,"London, United Kingdom - Tokyo, Japan",LHR,HND,51.5,-0.45,35.55,139.75,5972,1
244,"London, United Kingdom - Tokyo, Japan",LHR,HND,51.5,-0.45,35.55,139.75,5972,1
245,"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,782,1
246,"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,782,1
247,"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,782,1
248,"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,782,1
249,"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,782,1
250,"London, United Kingdom - Madrid, Spain",LCY,MAD,51.5,0.05,40.46,-3.58,782,1
251,"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1593,1
252,"Hong Kong, Hong Kong - Singapore, Singapore",SIN,HKG,1.3,103.98,22.32,113.94,1593,1
253,"Copenhagen, Denmark - London, United Kingdom",CPH,LHR,55.6,12.64,51.47,-0.45,609,1
254,"Copenhagen, Denmark - London, United Kingdom",CPH,LHR,55.6,12.64,51.47,-0.45,609,1
255,"Dar Es Salaam, United Rep. Of Tanzania - Mwanza, United Rep. Of Tanzania",MWZ,DAR,-2.5,32.93,-6.88,39.2,527,1
256,"London, United Kingdom - Philadelphia, United States Of America",LHR,PHL,51.5,-0.45,45.05,-89.01,3853,1
257,"London, United Kingdom - Philadelphia, United States Of America",LHR,PHL,51.5,-0.45,45.05,-89.01,3853,1
258,"Lagos, Nigeria - London, United Kingdom",LHR,LOS,51.5,-0.45,6.58,3.32,3102,1
259,"Lagos, Nigeria - London, United Kingdom",LHR,LOS,51.5,-0.45,6.58,3.32,3102,1
260,"New York, United States Of America - Rio De Janeiro, Brazil",GIG,JFK,-22.8,-43.24,40.64,-73.79,4786,1
